Probe	GeneID	MOCK_1	MOCK_2	MOCK_3	TATCRE.1	TATCRE_2	TATCRE_3
fp4FNiFLlN1GhdHtNI	TOPORS	9.71976766925022	10.29627241691	10.1869097557325	10.2826120134516	10.4854110277035	10.3146932532665
TqhIjlLvAQSqcTEJyw	SHARPIN	10.3306450014814	10.3468310764818	10.0655530146027	10.8786286462471	10.595900508771	10.9710968418004
N.oOle60SJ4KJ3UdJU	GGA1	7.91703397073031	7.90314547002563	8.02569556165987	8.01985365680604	7.78001194498815	7.93114087345062
lnq.eEfxTg4vkL9LXE	FBXO4	10.1991268660148	9.79876747382112	10.4010336562986	10.6212954281345	10.53573032877	10.6037303335647
HZxwfrefsj5_3XqlX8	AW549877	10.982942251136	10.8440404576353	11.1065970065031	11.8004657452206	11.1100806211957	11.7060681444341
fqChOquEh6ArlAJ4S4	MFSD5	10.0896158895599	10.1160520906233	10.0877569451373	10.0893836252802	9.84004838229458	10.2221172682869
ES1vFy5z3X7NSBHPAM	CGGBP1	12.0021411573648	11.2970175782163	11.7354652804135	11.8732965430125	11.6906063717753	11.7936575308401
rtv.XqoKEfoR0F9tpk	TXNDC11	7.77474511716539	7.99403244425742	8.02495253041474	8.08538319067492	8.04134489453375	7.99595588719936
uS4uw5Euo2ixOOjgPU	ZC3H7A	11.215885065364	10.8242709997167	11.0725122121914	11.3792403274212	11.195265790638	11.3727936802314
oHrkogxSqJ_wOgYQVY	0610012G03RIK	10.5219460452291	10.0736145157036	10.4036383473209	10.6349538215423	10.5759110753578	10.7625161350755
rjqOUp_gLJyDsgrO_E	RRN3	10.4876524056762	10.2133994931414	10.0517957396597	10.2154182041805	10.1582777499721	10.050605648046
KW93yyr0yrgBJhDj.0	OSBPL11	8.82107639734843	8.35616600544526	8.55752986762747	8.91042421097353	8.71429235280461	8.91532655849861
WeFLu.MsDvzd_pc3Ds	NSUN3	8.58148669702948	8.22530699958872	8.68195839572499	8.40512596501151	8.25329424893076	8.31175869776964
3X_5B7jkknB0ge8in0	RFC4	11.1182993324774	10.8708274957955	11.2729449381789	11.3499785838773	11.4467736072075	11.5999872567084
6V7HqqaEonVC.TfOQ4	ILDR1	7.80584453356393	7.83384888783134	7.82539378636865	7.97072831483383	7.94491105853151	8.01745073907366
N4JU_Urv7jNr54gItI	EAF2	7.84998460528231	7.9360239663858	8.05647526343401	8.53495604559009	8.39906163440472	8.38518765931286
KqJ6VpI1qJnGKK5JnM	PKDCC	7.58209609766639	7.4117334472083	7.59036213462526	7.51095673530151	7.53934337961354	7.48290119843722
NxeCi9ZhxWVeZOVPPU	TECR	11.3342590581968	11.4638675663711	11.038153510752	10.9365428069001	10.9877337828272	10.8569792087733
xrlAjn9V3rQIep1wJs	PPCS	8.84216306183909	9.7397828797529	9.14662905525007	9.31165877083362	9.31946191033664	9.33401256455272
Wool.cnF9eV19EXSHs	DLK2	7.91145313063324	7.82791857174807	7.92314121568124	7.83020764725686	7.88567124656004	7.73150090513764
TuHSS0xbREh7ZXda78	RAB31	9.29397419783487	9.64034362348942	9.21211391764916	9.15175259897593	8.98400818095113	9.00749051788058
l2XSxHtXkV6RJqRt38	FAM234A	8.04942438190878	8.22590076226687	7.99482668866449	8.08835342476252	7.9364602526836	7.8472888148926
lq_HSp1ed1QKM5nkgA	NRM	11.0948529893345	11.0414700011377	11.1640220081863	11.2029386436815	10.906746753299	11.0737955031614
EXVWiHbEjhSFTLvHEU	SCAF8	8.88190118139639	9.53101280824791	9.46383740799753	9.99953614539812	9.853660611862	9.89621959291943
6EiCili572urtLuJSg	ANKRD12	8.12834638270486	8.60380786531373	8.14463167923999	8.23453417700683	8.22809431242331	7.94442677157425
HASonipxuVF3xdYtEc	TRIP10	7.91145313063324	8.04938265118571	7.95389787195404	7.86153898337008	8.11645771921118	8.12875863866615
KtV4A1S5V_IUSQIUXo	IFT140	9.99746546811781	10.6582163689916	10.1001104266757	10.3473358652921	10.2566401214674	10.4568134144012
916.e55ciXOOuKuT5U	VMAC	8.15677496803036	8.54058441555784	8.51083826371183	8.2841455968634	8.42654829670889	8.4112746121152
63juohVCuvTp6SJJxQ	AI413582	9.13085064531895	9.74702608354982	9.17048192855653	9.36848503491695	9.32954408965171	9.10938355774214
u8lxeh_rReSVUF7d_c	RPUSD1	7.83118030880251	7.99905179270438	7.82687439022809	8.03178051160837	8.04484483213465	7.88265327420117
Bh1KF0l3Tz0U5Ujr0k	TICAM1	8.07397205802206	8.41312928298939	8.18763659426895	8.25252086278995	8.16753783267835	8.31814744055076
WF1Xl0vFIRo4gcbh1Q	STAP2	7.67726753119692	7.58502504478044	7.55306706733886	7.79049866938078	7.61986342867852	7.76318310037787
NWtUgFPXIKzr.P_eCU	TCF19	9.44814947419002	10.0365194773541	9.83007691881733	10.3958639272077	10.4645437952049	10.4463344104672
KtBAILeiC6e94IiOpg	OARD1	8.85419548514628	8.35022579146498	8.49864855795073	8.40478189579798	8.59533834993562	8.76106501007197
0pfxjntHQvuAtT.V7A	UNC119B	10.7048180420678	10.5291903846753	10.7704412081217	11.237276236068	11.188768485017	11.26543757963
xv96Kg3pcpDkfE6Ni0	ABHD3	7.68062966565786	7.5923080696509	7.50366686827926	7.68311275303141	7.57698171425006	7.62307147011598
